Brand	Mold	Type	Speed	Glide	Turn	Fade	In Prod.	Date Approved	Max Weight (gr)	Diameter (cm)	Height (cm)	Rim Depth (cm)	Inside Rim Diameter (cm)	Rim Thickness (cm)	Rim Depth / Diameter Ratio (%)	Rim Configuration	Flexibility (kg)	Certification Number
ABC Discs	Bee Line	Distance	14.0	5.0	-3.0	2.0	Yes	2012-09-12	175.1	21.1	1.6	1.1	16.2	2.5	5.2	26.25	8.39	12-36
ABC Discs	Flying Squirrel	Midrange	6.0	5.0	-3.0	2.0	Yes	2010-05-29	181.8	21.9	2.0	1.4	19.4	1.3	6.4	30.75	3.52	10-13
ABC Discs	Mission	Midrange	4.0	5.0	-1.0	2.0	Yes	2010-07-27	180.9	21.8	2.0	1.4	19.4	1.2	6.4	39.25	6.12	10-22
ABC Discs	Money	Putter	2.0	3.0	0.0	2.0	Yes	2010-04-09	174.3	21.0	2.2	1.7	19.0	1.0	8.1	56.5	11.11	10-08
ABC Discs	Secret Weapon	Distance	10.0	5.0	-3.0	2.0	Yes	2010-05-29	175.1	21.1	2.0	1.1	17.3	1.9	5.2	26.75	7.26	10-14
Above Ground Level	Cypress	Distance	12.0	5.0	-2.0	2.0	Yes	2017-04-03	176.0	21.2	1.5	1.1	16.7	2.2	5.2	26.75	7.03	17-37
Above Ground Level	Madrone	Putter	3.0	3.0	0.0	1.0	Yes	2018-11-23	174.3	21.0	2.2	1.7	19.0	1.0	8.1	83.5	8.16	18-81
Above Ground Level	Manzanita	Putter	3.0	3.0	0.0	2.0	Yes	2018-11-23	174.3	21.0	2.1	1.6	18.7	1.1	7.6	67.0	9.41	18-82
Aerobie	Epic Driver	Distance	11.0	3.0	-2.0	4.0	Yes	2003-04-16	175.1	21.1	1.4	1.1	14.5	4.1	5.2	26.5	12.02	03-07
AquaFlight Discs	Dragonfly	Midrange	5.0	4.0	-3.0	1.0	Yes	2015-02-06	174.3	21.0	1.6	1.1	19.1	1.4	5.2	43.0	8.05	15-24
AquaFlight Discs	Osprey	Distance	12.0	4.0	-1.0	2.0	Yes	2016-01-07	174.3	21.0	1.6	1.2	16.4	2.3	5.7	28.0	11.91	16-02
AquaFlight Discs	Peace Frog	Putter	3.0	3.0	0.0	1.0	Yes	2015-02-06	174.3	21.0	2.2	1.6	19.1	1.0	7.6	63.75	5.67	15-25
AquaFlight Discs	Pelican	Fairway	6.0	5.0	-3.0	1.0	Yes	2016-01-07	175.1	21.1	2.0	1.2	17.7	1.7	5.7	29.5	9.19	16-03
AquaFlight Discs	Swift	Fairway	7.0	5.0	-2.0	1.0	Yes	2015-02-06	174.3	21.0	1.6	1.1	17.1	1.9	5.2	30.0	12.02	15-26
Arsenal Discs	50 Cal	Distance	10.0	4.0	-2.0	2.0	Yes	2017-07-13	175.1	21.1	1.6	1.2	17.2	2.0	5.7	31.75	9.3	17-83
Arsenal Discs	Air Strike	Distance	12.0	5.0	-3.0	3.0	Yes	2017-07-13	174.3	21.0	1.5	1.2	16.3	2.3	5.7	26.25	7.03	17-84
Arsenal Discs	C4	Putter	3.0	3.0	0.0	1.0	Yes	2017-07-13	175.1	21.1	1.9	1.3	19.1	1.0	6.2	50.0	8.65	17-85
Arsenal Discs	Cyborg	Fairway	9.0	5.0	-4.0	1.0	Yes	2017-07-13	174.3	21.0	1.6	1.2	17.4	1.8	5.7	30.75	8.85	17-86
Arsenal Discs	Morningstar	Midrange	5.0	4.0	-1.0	2.0	Yes	2017-07-13	180.1	21.7	1.9	1.3	19.1	1.3	6.0	43.75	7.71	17-87
Axiom Discs	Alias	Midrange	4.0	4.0	-1.0	1.0	Yes	2014-01-12	178.5	21.5	1.8	1.2	19.1	1.2	5.6	61.5	8.96	14-03
Axiom Discs	Clash	Fairway	6.5	4.0	-1.0	2.0	Yes	2014-06-10	175.1	21.1	1.4	1.1	17.5	1.8	5.2	33.5	9.41	14-54
Axiom Discs	Crave	Fairway 	6.5	5.0	-1.0	1.0	Yes	2014-03-09	175.1	21.1	1.4	1.2	17.4	1.8	5.7	27.75	9.98	14-16
Axiom Discs	Defy	Distance	11.0	5.0	-1.0	3.0	Yes	2016-04-21	175.1	21.1	1.5	1.1	16.7	2.2	5.2	26.0	9.3	16-36
Axiom Discs	Envy	Putter	3.0	3.0	0.0	2.0	Yes	2014-01-12	174.3	21.0	1.8	1.4	18.8	1.1	6.7	52.0	8.73	14-04
Axiom Discs	Excite	Distance	14.5	5.5	-2.0	2.0	Yes	2018-03-25	175.1	21.1	2.1	1.2	15.9	2.5	5.7	27.0	11.91	18-36
Axiom Discs	Fireball	Fairway	9.0	3.5	-0.5	4.0	Yes	2014-12-19	175.1	21.1	1.4	1.1	17.1	2.0	5.2	29.5	9.07	14-94
Axiom Discs	Insanity	Fairway	9.0	5.0	-2.0	1.5	Yes	2014-12-19	175.1	21.1	1.4	1.1	17.0	2.0	5.2	27.0	8.28	14-95
Axiom Discs	Inspire	Fairway	6.5	5.0	-1.5	1.0	Yes	2014-03-22	175.1	21.1	1.5	1.2	17.4	1.8	5.7	32.75	9.87	14-20
Axiom Discs	Mayhem	Distance	13.0	5.0	-1.5	2.0	Yes	2017-04-13	176.0	21.2	1.9	1.2	16.3	2.4	5.7	27.5	12.13	17-48
Axiom Discs	Panic	Distance	13.0	4.0	-0.5	3.0	Yes	2017-04-03	175.1	21.1	1.7	1.2	16.3	2.4	5.7	26.25	12.25	17-45
Axiom Discs	Proxy	Putter	3.0	3.0	-1.0	0.5	Yes	2014-09-24	174.3	21.0	1.8	1.5	18.8	1.1	7.1	63.5	6.58	14-74
Axiom Discs	Tantrum	Distance	14.5	5.0	-1.5	3.0	Yes	2018-03-15	175.1	21.1	1.9	1.2	16.0	2.5	5.7	26.75	12.13	18-25
Axiom Discs	Tenacity	Distance	13.0	5.0	-2.5	2.0	Yes	2017-04-13	175.1	21.1	1.9	1.2	16.3	2.4	5.7	26.75	11.57	17-49
Axiom Discs	Theory	Midrange	4.0	4.0	-1.5	1.0	Yes	2014-09-24	178.5	21.5	1.9	1.3	19.1	1.2	6.0	50.0	6.35	14-75
Axiom Discs	Thrill	Distance	11.0	4.0	-1.0	3.0	Yes	2016-04-21	175.1	21.1	1.5	1.1	16.7	2.2	5.2	26.0	9.53	16-37
Axiom Discs	Vanish	Distance	11.0	5.0	-3.0	2.0	Yes	2016-04-06	175.1	21.1	1.5	1.1	16.6	2.2	5.2	27.75	8.98	16-30
Axiom Discs	Virus	Fairway	9.0	5.0	-3.5	1.0	Yes	2014-12-19	176.0	21.2	1.4	1.1	17.0	2.0	5.2	29.5	7.94	14-96
Axiom Discs	Wrath	Fairway	9.0	4.5	-0.5	2.0	Yes	2014-12-19	175.1	21.1	1.4	1.1	17.0	2.0	5.2	30.25	8.05	14-97
Black Zombie Disc Golf	Berzerker	Distance	12.0	4.0	0.0	3.0	Yes	2018-05-31	177.6	21.4	1.6	1.1	17.0	2.2	5.1	29.5	10.55	18-47
Black Zombie Disc Golf	Chainsaw	Putter	3.0	5.0	0.0	1.0	Yes	2016-01-07	174.3	21.0	2.2	1.5	19.1	1.0	7.1	66.5	11.0	16-01
Black Zombie Disc Golf	Crossbow	Midrange	5.0	5.0	-1.0	1.0	Yes	2018-02-26	181.8	21.9	1.6	1.2	19.1	1.4	5.5	32.75	8.85	18-26
Crosslap Discgolf Parks	Credo	Putter	3.0	2.0	0.0	3.0	Yes	2011-06-26	180.1	21.7	2.0	1.6	19.3	1.2	7.4	49.75	7.26	11-30
Crosslap Discgolf Parks	Lucky	Midrange	5.0	5.0	-2.0	1.0	Yes	2012-04-22	180.1	21.7	1.7	1.3	19.1	1.3	6.0	43.5	5.33	12-18
Daredevil Discs	Albatross	Distance	14.0	4.0	0.0	5.0	Yes	2017-04-03	174.3	21.0	1.6	1.1	16.4	2.3	5.2	26.5	8.39	17-43
Daredevil Discs	Beaver	Putter	2.0	3.0	0.0	1.0	Yes	2007-01-19	176.0	21.2	2.2	1.6	19.3	0.9	7.5	50.5	3.97	07-06
Daredevil Discs	Bigfoot	Distance	13.0	5.0	-2.0	2.0	Yes	2012-06-05	175.1	21.1	1.6	1.1	16.1	2.5	5.2	26.0	6.69	12-29
Daredevil Discs	Bighorn	Putter	2.0	3.0	0.0	1.0	Yes	2016-08-25	176.0	21.2	2.2	1.6	19.2	1.5	7.5	67.75	8.62	16-89
Daredevil Discs	Buffalo	Fairway	9.0	4.0	-1.0	5.0	Yes	2014-10-31	174.3	21.0	1.6	1.2	17.0	2.0	5.7	34.0	8.85	14-84
Daredevil Discs	Caribou	Midrange	4.0	5.0	-3.0	1.0	Yes	2007-06-12	180.9	21.8	2.1	1.3	19.3	1.3	6.0	40.75	7.14	07-33
Daredevil Discs	Gray Jay	Distance	14.0	4.0	0.0	5.0	Yes	2017-06-11	174.3	21.0	1.4	1.1	16.3	2.3	5.2	28.5	4.85	17-73
Daredevil Discs	Great Horned Owl	Putter	2.0	3.0	0.0	1.0	Yes	2016-04-21	176.0	21.2	2.2	1.4	19.2	1.0	6.6	62.25	7.14	16-34
Daredevil Discs	Grizzly	Midrange	4.0	4.0	-1.0	2.0	Yes	2007-06-12	181.8	21.9	2.0	1.3	19.3	1.3	5.9	42.25	6.92	07-31
Daredevil Discs	Mammoth	Fairway	9.0	4.0	-1.0	5.0	Yes	2014-10-31	175.1	21.1	1.7	1.2	17.1	2.0	5.7	29.25	5.22	14-85
Daredevil Discs	Merlin	Distance	14.0	4.0	-1.0	5.0	Yes	2017-04-03	174.3	21.0	1.7	1.1	16.4	2.3	5.2	26.0	7.03	17-44
Daredevil Discs	Moose	Midrange	4.0	5.0	0.0	2.0	Yes	2007-06-12	180.9	21.8	2.1	1.3	19.3	1.3	6.0	41.0	4.31	07-32
Daredevil Discs	Ogopogo	Fairway	9.0	4.0	-2.0	5.0	Yes	2014-10-31	175.1	21.1	1.5	1.2	17.1	2.0	5.7	36.75	2.27	14-86
Daredevil Discs	Polar Bear	Putter	2.0	3.0	-1.0	1.0	Yes	2007-06-12	176.0	21.2	2.0	1.5	19.3	1.0	7.1	62.5	4.2	07-30
Daredevil Discs	Pteranodon	Midrange	4.0	6.0	-2.0	1.0	Yes	2017-06-11	179.3	21.6	2.3	1.2	18.8	1.4	5.6	44.5	8.39	17-74
